"",TRAINS,4613,4615,4617,4623,4627,4631,4633,4635,4639,4641,4643,4651
"",,Q,Q,Q,Q,Q,Q,Q,Q,,,,
A.M.,A.M.,A.M.,A.M.,P.M.,P.M.,P.M.,P.M.,P.M.,P.M.,P.M.,A.M.
Departing from:,,,,,,,,,,,,,
PHILADELPHIA 30TH ST.,,6.11,7.43,9.14,11.06,12.58,2.49,4.41,5.53,7.03,9.01,10.55,12.50
via RiverLine,,,,,,,,,,,,,
Trenton Transit Center,,,6.57,8.27,10.27,11.57,1.57,3.57,5.12,6.27,7.57,,
Pennsauken,,,7.47,9.17,11.17,12.47,2.47,4.47,6.02,7.17,8.47,,
Pennsauken,,6.32,8.04,9.35,11.27,1.19,3.10,5.02,6.14,7.24,9.22,11.16,1.11
Cherry Hill,,6.39,8.11,9.42,11.34,1.26,3.17,5.09,6.21,7.31,9.29,11.23,1.18
via PATCO,,,,,,,,,,,,,
15-16 & Locust,,6.03,7.37,9.17,11.07,12.52,2.47,4.39,5.54,7.07,8.52,10.47,12.39
8th & Market,,6.07,7.41,9.21,11.11,12.56,2.51,4.43,5.58,7.11,8.56,10.51,12.43
Camden Transit Center-Broadway,,6.13,7.47,9.27,11.17,1.02,2.57,4.49,6.04,7.17,9.02,10.57,12.49
arrive Lindenwold,,6.31,8.05,9.45,11.35,1.20,3.15,5.07,6.22,7.35,9.20,11.15,1.07
Lindenwold,,6.52,8.23,9.54,11.46,1.38,3.30,5.22,6.33,7.43,9.41,11.35,1.30
Atco,,6.59,8.30,10.02,11.54,1.45,3.37,5.29,6.40,7.50,9.48,11.45,1.37
Hammonton,,7.12,8.43,10.15,12.07,1.58,3.50,5.42,6.53,8.03,10.02,11.58,1.50
Egg Harbor City,,7.23,8.54,10.25,12.17,2.09,4.00,5.52,7.04,8.14,10.12,12.09,2.01
Absecon,,7.33,9.04,10.36,12.28,2.19,4.11,6.03,7.17,8.24,10.22,12.19,2.11
ATLANTIC CITY,,7.46,9.17,10.49,12.41,2.32,4.24,6.16,7.31,8.37,10.36,12.32,2.24
"",TRAINS,4608,4610,4612,4616,4620,4624,4628,4630,4632,4634,4638,4642
"",,,,Q,Q,Q,Q,Q,Q,Q,Q,,
A.M.,A.M.,A.M.,A.M.,A.M.,P.M.,P.M.,P.M.,P.M.,P.M.,P.M.,P.M.
Departing from:,,,,,,,,,,,,,
ATLANTIC CITY,,4.11,5.38,6.49,8.20,10.12,12.04,1.55,3.47,4.59,6.54,8.53,10.51
Absecon,,4.22,5.49,7.00,8.31,10.23,12.15,2.06,3.58,5.10,7.05,9.04,11.02
Egg Harbor City,,4.32,5.59,7.10,8.41,10.36,12.28,2.19,4.11,5.20,7.15,9.14,11.12
Hammonton,,4.43,6.10,7.24,8.55,10.47,12.39,2.30,4.22,5.31,7.26,9.25,11.23
Atco,,4.56,6.23,7.37,9.08,11.00,12.52,2.43,4.35,5.47,7.40,9.38,11.36
Lindenwold,,5.03,6.30,7.44,9.16,11.07,12.59,2.51,4.42,5.54,7.50,9.48,11.43
via PATCO,,,,,,,,,,,,,
Lindenwold,,5.15,6.41,7.55,9.30,11.15,1.15,3.00,4.58,6.15,8.00,10.10,12.00
Camden Transit Center-Broadway,,5.31,6.57,8.11,9.46,11.31,1.31,3.16,5.14,6.31,8.16,10.26,12.16
8th & Market,,5.39,7.05,8.19,9.54,11.39,1.39,3.24,5.22,6.39,8.24,10.34,12.24
15-16 & Locust,,5.43,7.09,8.23,9.58,11.43,1.43,3.28,5.26,6.43,8.28,10.38,12.28
Cherry Hill,,5.15,6.44,7.57,9.28,11.20,1.11,3.03,4.55,6.07,8.02,10.00,11.56
Pennsauken,,5.22,6.51,8.04,9.35,11.27,1.18,3.10,5.02,6.14,8.09,10.07,12.03
via RiverLine,,,,,,,,,,,,,
Pennsauken,,6.02,6.58,8.13,9.43,11.43,1.43,3.43,5.13,6.28,8.45,,
Trenton Transit Center,,6.52,7.50,9.05,10.35,12.35,2.35,4.35,6.05,7.20,9.37,,
PHILADELPHIA 30TH ST.,,5.47,7.15,8.28,10.00,11.52,1.43,3.35,5.27,6.39,8.34,10.32,12.27
"",,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
"",6200,6202,6204,1070,204,6206,1000,852,208,6210,1002,872,212,6214,1006,808,6216,1074,6222,6226
"",A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.,A.M.
HACKETTSTOWN,,,,5.04,,,,,,,,6.45,,,,,,8.24,,
Mount Olive,,,,5.15,,,,6.07,,,,6.56,,,,,,8.35,,
Netcong,,,,5.20,,,,6.12,,,,7.01,,,,,,8.40,,
Lake Hopatcong,,,,5.25,,,6.06,6.17,,,6.42,7.05,,,7.19,7.41,,8.45,,
Mount Arlington,,,,5.29,,,6.10,6.22,,,6.46,7.09,,,7.23,7.45,,8.49,,
DOVER,,,,5.38,,,6.18,6.30,,,6.54,7.17,,,7.31,7.54,,8.58,,
Denville,,,,5.44,,,6.25,6.37,,,7.01,7.24,,,7.38,8.00,,9.04,,
Mountain Lakes,,,,5.48,,,6.30,,,,7.05,,,,7.42,,,9.09,,
Boonton,,,,5.52,,,6.33,V,,,7.09,V,,,7.46,V,,9.12,,
Towaco,,,,5.58,,,6.39,I,,,7.15,I,,,7.52,I,,9.19,,
Lincoln Park,,,,6.03,,,6.44,A,,,7.20,A,,,7.56,A,,9.23,,
Mountain View,,,,6.07,,,6.49,,,,7.24,,,,8.01,,,9.28,,
Wayne/Route 23,,,,6.10,,,6.52,M,,,7.27,M,,,8.04,M,,9.31,,
Little Falls,,,,6.14,,,6.56,O,,,7.31,O,,,8.08,O,,9.34,,
Montclair State University,,,,6.19,,,7.02,R,,,7.37,R,,,8.13,R,,9.40,,
MONTCLAIR STATE UNIV.,4.40,5.10,5.48,6.20,6.25,6.41,7.03,R,7.10,7.17,7.38,R,7.50,8.03,8.14,R,8.55,9.41,10.02,10.51
Montclair Heights,4.43,5.14,5.52,,6.28,6.44,,I,7.13,7.20,,I,7.53,8.07,8.17,I,8.58,9.44,10.06,10.53
Mountain Avenue,,5.16,5.54,6.24,,6.46,,S,7.16,7.23,,S,7.55,8.09,,S,9.00,9.46,10.08,10.56
Upper Montclair,4.46,5.18,5.56,,6.31,6.48,,T,7.18,7.25,,T,7.57,8.12,8.21,T,9.03,9.48,10.10,10.58
Watchung Avenue,4.48,5.21,5.58,6.27,6.33,6.51,7.08,O,7.21,7.28,7.44,O,8.00,8.14,8.23,O,9.05,9.51,10.13,11.01
Walnut Street,4.51,5.24,6.01,,6.36,6.54,7.11,W,7.24,7.31,,W,8.03,8.17,8.26,W,9.08,9.54,10.16,11.04
Bay Street (Montclair),4.54,5.27,6.04,6.32,6.39,6.58,7.15,N,7.27,7.35,7.49,N,8.06,8.21,8.30,N,9.12,9.57,10.19,11.07
Glen Ridge,4.58,5.30,6.07,,6.42,7.01,,,7.30,7.39,,,8.09,8.24,8.33,,9.15,9.59,10.22,11.10
Bloomfield,5.00,5.33,6.10,,6.45,7.04,,,7.33,7.43,,,8.12,8.27,8.36,,9.17,10.02,10.25,11.13
Watsessing Avenue,5.03,5.35,6.12,,6.47,7.06,,,7.36,7.46,,,8.14,8.30,,,9.19,10.05,10.27,11.15
Newark Broad Street,5.09,5.42,6.21,L 6.41,L 6.54,7.13,L 7.25,L 7.32,L 7.44,,L 8.00,L 8.18,L 8.21,8.37,8.44,L 9.02,9.26,10.12,10.34,11.23
HOBOKEN,C 5.47,S 6.11,,7.00,7.10,C 7.37,7.43,7.50,8.00,,8.17,8.34,8.37,,9.02,9.20,C 9.46,10.30,S 11.06,S 12.05
via PATH,5.56,6.25,,7.15,7.25,7.50,7.50,7.58,8.14,,8.30,8.46,8.46,,9.10,9.34,9.53,10.49,11.19,12.19
arrive World Trade Center,6.07,6.36,,7.26,7.36,8.01,8.01,8.09,8.25,,8.41,8.57,8.57,,9.21,9.45,10.04,11.00,11.30,12.30
via FERRY,6.00,6.20,,7.10,7.20,7.50,7.50,8.00,8.10,,8.30,8.50,8.50,,9.20,9.30,10.00,10.40,11.20,12.20
